date,rank,full_name,description,html_url,stars,forks,open_issues,language,created_at,pushed_at,owner
2026-09-25,1,zai-org/ZCode,"Z.ai's coding agent harness. Powerful, intelligent, extensible.",https://github.com/zai-org/ZCode,6747,2020,11,TypeScript,2026-09-20T12:01:16Z,2026-09-24T06:49:55Z,zai-org
2026-09-25,2,jev-chat/jev-chat-jarvis,装在手机上的对话副驾：在 QQ / X / 飞书里读懂对方、给出候选回复、一键填入输入框，发不发由你。非侵入，只读屏幕，不 hook 不改包。,https://github.com/jev-chat/jev-chat-jarvis,6440,1123,25,Kotlin,2026-09-21T11:12:53Z,2026-09-25T08:18:02Z,jev-chat
2026-09-25,3,mizorewww/laya-mlx,"Native MLX runtime for Laya typed decision models — 7–14 ms short decisions on M3 Max. No text generation, PyTorch, or cloud API.",https://github.com/mizorewww/laya-mlx,6289,490,18,Python,2026-09-19T13:50:26Z,2026-09-22T05:34:51Z,mizorewww
2026-09-25,4,unreallabsai/unreal-agent,Async-first agent harness,https://github.com/unreallabsai/unreal-agent,1899,99,8,Go,2026-09-21T23:14:02Z,2026-09-23T19:08:26Z,unreallabsai
2026-09-25,5,mizorewww/laya-coreml,"Local Laya typed decisions on Apple Core ML and Neural Engine. Validated ports, ~5 ms short decisions on M3 Max, reproducible speed and energy benchmarks.",https://github.com/mizorewww/laya-coreml,1444,121,3,Python,2026-09-19T23:14:13Z,2026-09-22T06:33:09Z,mizorewww
2026-09-25,6,newliver666/apk-reverse,Suitable for Android APK reverse engineering analysis,https://github.com/newliver666/apk-reverse,1441,379,0,Python,2026-09-19T13:12:54Z,2026-09-24T09:22:21Z,newliver666
2026-09-25,7,driceroland/Search,"A small, fast WebKit browser for macOS, by Office Commun.",https://github.com/driceroland/Search,1352,138,151,Swift,2026-09-20T10:29:47Z,2026-09-24T16:11:57Z,driceroland
2026-09-25,8,Contrastive-LM/CLM,,https://github.com/Contrastive-LM/CLM,1038,74,4,Python,2026-09-23T19:29:56Z,2026-09-24T23:10:28Z,Contrastive-LM
2026-09-25,9,deepopen-com/deepopen,"非自回归System 1决策引擎，专为结构化类型决策场景设计  DeepOpen Multilingual, non-autoregressive System 1 decision engine. ",https://github.com/deepopen-com/deepopen,1014,110,6,Python,2026-09-21T02:12:24Z,2026-09-25T04:28:11Z,deepopen-com
2026-09-25,10,mikehasa/golive-skill,"Take your agent-built product live: hosting, database, domain, email, payments — on your own accounts. Open-source Agent Skill + zero-dependency Node CLI: detect → plan → approve → apply → verify. No GoLive account, backend or telemetry.",https://github.com/mikehasa/golive-skill,922,66,0,TypeScript,2026-09-23T13:37:26Z,2026-09-25T11:06:27Z,mikehasa
2026-09-25,11,pallavi-shekhar/ai-engineering-interview-questions-company-wise,Your Cheat Sheet For AI Engineering Interviews at Top AI Companies - Questions and Answers.,https://github.com/pallavi-shekhar/ai-engineering-interview-questions-company-wise,848,65,0,Markdown,2026-09-19T04:14:43Z,2026-09-19T10:40:41Z,pallavi-shekhar
2026-09-25,12,heyjunpenn/awesome-jev,"A verified, community-maintained catalog of 916 open-source projects built with Jev.",https://github.com/heyjunpenn/awesome-jev,821,56,1,Astro,2026-09-19T05:14:36Z,2026-09-25T01:50:27Z,heyjunpenn
2026-09-25,13,JohnHeibel/PDoomVideo,Source code for the Claude Opus 5.5 music video for I'm Upping My P(doom),https://github.com/JohnHeibel/PDoomVideo,801,85,1,JavaScript,2026-09-22T23:32:19Z,2026-09-23T21:50:55Z,JohnHeibel
2026-09-25,14,riba2534/claude-opus-5-5-demo,claude-opus-5-5-demo,https://github.com/riba2534/claude-opus-5-5-demo,790,117,5,JavaScript,2026-09-23T06:31:00Z,2026-09-23T07:54:16Z,riba2534
2026-09-25,15,volotat/mini-AGI,Continual learning model trained from scratch on 8GB VRAM laptop with batch-1 stream of data.,https://github.com/volotat/mini-AGI,764,110,13,Python,2026-09-19T00:25:59Z,2026-09-25T06:51:48Z,volotat
2026-09-25,16,kryvora-network/kryvora-node,Reference client daemon and verification worker for Kryvora Network nodes.,https://github.com/kryvora-network/kryvora-node,760,20,0,Go,2026-09-22T16:10:23Z,2026-09-22T19:02:39Z,kryvora-network
2026-09-25,17,Mak5er/AirCard-iOS, Apple Wallet card skins and lock screen passcode themes on iOS 27. ,https://github.com/Mak5er/AirCard-iOS,748,64,17,Swift,2026-09-19T09:22:23Z,2026-09-20T21:01:12Z,Mak5er
2026-09-25,18,yetone/magpie,"Every agent's model. One place. Codex on DeepSeek, Claude Code on Kimi, from the menu bar.",https://github.com/yetone/magpie,741,40,3,Go,2026-09-23T16:22:35Z,2026-09-25T11:23:19Z,yetone
2026-09-25,19,v-modal/awesome-jev-tools,A curated list of tools  built for Jev — TypeSafe AI's System One model for typed decisions.,https://github.com/v-modal/awesome-jev-tools,717,30,24,,2026-09-19T16:48:59Z,2026-09-24T15:39:54Z,v-modal
2026-09-25,20,freestylefly/WeChatBridge,微信聊天记录一键转发到 AI Agent 与 Obsidian 的原生 macOS 工具,https://github.com/freestylefly/WeChatBridge,683,273,2,Swift,2026-09-21T02:54:51Z,2026-09-23T15:43:39Z,freestylefly
2026-09-25,21,anishfn/shapeshift,"An input that becomes what you mean: one text box that morphs into the right UI as you type. Powered by TypeSafe Jev, works offline.",https://github.com/anishfn/shapeshift,605,57,2,TypeScript,2026-09-22T08:52:32Z,2026-09-23T23:57:19Z,anishfn
2026-09-25,22,nokia-applied-research/AnyJev,"Turn any LLM into a Jev-style decision model: typed decisions, real probabilities, no training. (continue updating)",https://github.com/nokia-applied-research/AnyJev,563,81,4,Python,2026-09-21T05:55:40Z,2026-09-25T00:32:27Z,nokia-applied-research
2026-09-25,23,jev-chat/jev-chat-windows,JevChat-Windows：聊天窗口旁挂的回复辅助。窗口截图 + 本地离线 OCR 读对方消息 → Jev 判断意图 → 3 条候选一键填入，发送永远手动,https://github.com/jev-chat/jev-chat-windows,549,122,16,Python,2026-09-21T14:37:14Z,2026-09-24T16:30:54Z,jev-chat
2026-09-25,24,Haleclipse/CometixCode,"An unofficial Rust reimplementation of Anthropic's Claude Code terminal UI, built on iocraft",https://github.com/Haleclipse/CometixCode,547,31,6,Rust,2026-09-20T08:58:08Z,2026-09-24T11:11:06Z,Haleclipse
2026-09-25,25,rmalde/minecraft-agent,"Astra planner and JEV controller for Minecraft, with native recording, tested routes, and run verification.",https://github.com/rmalde/minecraft-agent,545,53,4,JavaScript,2026-09-20T05:05:12Z,2026-09-20T05:05:16Z,rmalde
2026-09-25,26,taeold/djev-run,,https://github.com/taeold/djev-run,544,32,0,HTML,2026-09-20T03:59:03Z,2026-09-24T14:56:05Z,taeold
2026-09-25,27,dgreenheck/tidewater,Coastal town built with Opus 5.5,https://github.com/dgreenheck/tidewater,526,120,8,JavaScript,2026-09-23T21:40:29Z,2026-09-25T04:02:40Z,dgreenheck
2026-09-25,28,tobi/disktree,"A treemap for finding and removing what fills your disk, for Omarchy. Rust + GPUI.",https://github.com/tobi/disktree,520,43,14,Rust,2026-09-24T20:56:29Z,2026-09-24T23:27:37Z,tobi
2026-09-25,29,rgem227/knoweldge-base,"Personal or team knowledge base, supports MCP API calls.",https://github.com/rgem227/knoweldge-base,513,6,0,Python,2026-09-22T04:28:59Z,2026-09-22T05:28:17Z,rgem227
2026-09-25,30,wuyoscar/jev-skill,"An awesome collection of Jev use cases, workflows, and agent skills.",https://github.com/wuyoscar/jev-skill,484,33,2,Python,2026-09-20T02:35:26Z,2026-09-25T00:17:59Z,wuyoscar
